name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Tom Clancy's Rainbow Six: Rogue Spear,GBA,2002.0,Shooter,Ubisoft,Ubisoft Milan,0.08,0.03,0,76.0,#VALUE!
Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,Namco,0.09,0,0.02,72.0,#VALUE!
Animal Genius,DS,2007.0,Puzzle,Ubisoft,Big Blue Bubble Inc.,0.1,0,0,NaN,#VALUE!
BoomBots,PS,1999.0,Fighting,SouthPeak Games,NaN,0.06,0.04,0,NaN,NaN
NFL Head Coach 09,X360,2008.0,Sports,Electronic Arts,EA Tiburon,0.11,0,0,67.0,8.4
Star Trek: Conquest,PS2,NaN,Strategy,Bethesda Softworks,4J Studios,0.06,0.04,0,54.0,9.1
Blood Drive,X360,2010.0,Racing,Activision,Sidhe Interactive,0.09,0.01,0,40.0,6.5
World Championship Rugby,PS2,2004.0,Sports,Acclaim Entertainment,NaN,0.06,0.04,0,NaN,NaN
The Price is Right: Decades,X360,2011.0,Misc,Ubisoft,Ludia Inc.,0.11,0,0,NaN,#VALUE!
Phantom Dust,XB,2004.0,Action,Microsoft Game Studios,Microsoft Game Studios Japan,0.08,0.02,0,81.0,8.5
Vacation Isle: Beach Party,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,Farsight Studios,0.08,0.02,0,NaN,#VALUE!
The Walking Dead: Survival Instinct,WiiU,2013.0,Shooter,Activision,Terminal Reality,0.08,0.03,0,NaN,4.6
Shinseiki Evangelion: Koutetsu no Girlfriend,PS,1998.0,Adventure,Gainax Network Systems,NaN,0,0,0.11,NaN,NaN
Shin Sangoku Musou: Multi Raid 2,PSP,2010.0,Action,Tecmo Koei,NaN,0,0,0.11,NaN,NaN
Growlanser Generations,PS2,2003.0,Role-Playing,Atlus,Career Soft,0.06,0.04,0,81.0,7.7
Puyo Puyo Tetris,3DS,2014.0,Puzzle,Sega,NaN,0,0,0.11,NaN,NaN
Mega Man Battle Chip Challenge,GBA,2003.0,Misc,Capcom,Capcom,0.08,0.03,0,54.0,8.3
Fatal Frame: Maiden of Black Water,WiiU,2014.0,Action,Nintendo,Koei Tecmo Games,0,0.03,0.08,67.0,7.6
Prince of Persia: Rival Swords,PSP,2007.0,Action,Ubisoft,"Pipeworks Software, Inc.",0.08,0.02,0,74.0,8.2
Samurai Warriors 4-II,PS3,2015.0,Action,Tecmo Koei,Omega Force,0,0,0.11,NaN,#VALUE!
Tom Clancy's Splinter Cell Trilogy,PS3,2011.0,Action,Ubisoft,NaN,0,0.09,0,NaN,NaN
The Lord of the Rings: Aragorn's Quest,DS,2010.0,Action,Warner Bros. Interactive Entertainment,Headstrong Games,0.09,0.02,0,NaN,#VALUE!
Cold Winter,PS2,2005.0,Shooter,Vivendi Games,Swordfish Studios,0.06,0.04,0,73.0,8.2
Ring of Red,PS2,2000.0,Strategy,Konami Digital Entertainment,Konami,0.06,0.04,0,82.0,8.7
International Track & Field 2000,PS,1999.0,Sports,Konami Digital Entertainment,NaN,0.06,0.04,0,NaN,NaN
Stubbs the Zombie in Rebel Without a Pulse,XB,2005.0,Action,THQ,Wideload Games Inc.,0.08,0.02,0,75.0,8.1
Batman: Dark Tomorrow,XB,2003.0,Action,Kemco,HotGen,0.08,0.02,0,25.0,3.6
Girl Time,DS,2009.0,Simulation,THQ,THQ,0.11,0,0,NaN,#VALUE!
Ping Pals,DS,2004.0,Misc,THQ,WayForward,0.1,0,0,28.0,3.9
MLB 13: The Show,PSV,2013.0,Sports,Sony Computer Entertainment,SCEA San Diego Studios,0.1,0,0,75.0,7.5
Mystery P.I. - Portrait of a Thief,DS,2008.0,Adventure,Unknown,PopCap,0.1,0,0,NaN,#VALUE!
18 Wheeler: American Pro Trucker,GC,2002.0,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,0.09,0.02,0,52.0,6.8
Naruto Ultimate Collection,PS2,2008.0,Misc,Namco Bandai Games,Namco Bandai Games America,0.06,0.04,0,NaN,#VALUE!
The King of Fighters '99,PS,2000.0,Fighting,SNK,SNK,0,0,0.11,NaN,8.9
Super Run For Money Tousouchuu Atsumare! Saiky...,3DS,2015.0,Action,Namco Bandai Games,NaN,0,0,0.11,NaN,NaN
Mass Destruction,PS,1997.0,Shooter,BMG Interactive Entertainment,NaN,0.06,0.04,0,NaN,NaN
Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998.0,Adventure,Sega,NaN,0,0,0.11,NaN,NaN
Split/Second,PSP,2010.0,Racing,Disney Interactive Studios,Black Rock Studio,0.08,0.02,0,63.0,6.7
Warhammer: Battle March,X360,2008.0,Strategy,Deep Silver,Black Hole Games,0.09,0.02,0,55.0,6.7
Batman: Rise of Sin Tzu,XB,2003.0,Action,Ubisoft,Ubisoft Montreal,0.08,0.02,0,67.0,7.7
The King of Fighters XII,X360,2009.0,Fighting,Ignition Entertainment,SNK Playmore,0.09,0,0.01,63.0,4.2
Super Swing Golf Season 2,Wii,2007.0,Sports,Rising Star Games,"Tecmo, Ntreev Soft",0.08,0,0.03,70.0,#VALUE!
Garfield's Fun Fest,DS,2008.0,Platform,Zoo Digital Publishing,Black Lantern Studios,0.07,0.03,0,44.0,#VALUE!
Queen's Blade: Spiral Chaos,PSP,2009.0,Role-Playing,Namco Bandai Games,NaN,0,0,0.11,NaN,NaN
Desktop Tower Defense,DS,2009.0,Strategy,THQ,Frima Studio,0.1,0,0,NaN,#VALUE!
Jikkyou Powerful Pro Yakyuu '95,PS,1994.0,Sports,Konami Digital Entertainment,NaN,0,0,0.11,NaN,NaN
Spy vs Spy,XB,2005.0,Action,Global Star,Vicious Cycle,0.08,0.02,0,53.0,8
Coraline,PS2,2009.0,Action,D3Publisher,Papaya Studios,0.06,0.04,0,39.0,2
Sega Touring Car Championship,SAT,1996.0,Racing,Sega,NaN,0,0,0.11,NaN,NaN
Cold Fear,PS2,2005.0,Action,Ubisoft,Darkworks,0.06,0.04,0,68.0,7.7
Zangeki no Reginleiv,Wii,2010.0,Action,Nintendo,NaN,0,0,0.11,NaN,NaN
Zubo,DS,2008.0,Misc,Electronic Arts,EA Bright Light,0.08,0.02,0,75.0,7.6
Daito Giken Koushiki Pachi-Slot Simulator: Hih...,PS2,2006.0,Misc,Daito,NaN,0,0,0.11,NaN,NaN
My SAT Coach with The Princeton Review,DS,2008.0,Misc,Ubisoft,NaN,0.1,0,0,NaN,NaN
NHL Hitz 20-03,XB,2002.0,Sports,Midway Games,Black Box,0.08,0.02,0,81.0,8.5
Murakumo: Renegade Mech Pursuit,XB,2002.0,Shooter,From Software,From Software,0.04,0.01,0.06,48.0,7.5
The Hardy Boys: Treasure on the Tracks,DS,2009.0,Adventure,Sega,Her Interactive,0.1,0,0,65.0,#VALUE!
Gun Metal,XB,2002.0,Shooter,Rage Software,Rage Software,0.08,0.02,0,63.0,7.6
Funky Barn,3DS,2012.0,Simulation,Ubisoft,NaN,0.07,0.03,0,NaN,NaN
Transformer: Rise of the Dark Spark,PS3,2014.0,Action,Activision,NaN,0.04,0.04,0.01,NaN,NaN
Cory in the House,DS,2007.0,Action,Disney Interactive Studios,Handheld Games,0.1,0,0,NaN,9.5
Pro Yaky? Spirits 5,PS3,2008.0,Sports,Konami Digital Entertainment,NaN,0,0,0.11,NaN,NaN
BloodRayne,GC,2002.0,Shooter,Universal Interactive,Terminal Reality,0.09,0.02,0,73.0,8.5
MotoGP 14,PS3,2014.0,Racing,Milestone S.r.l.,Milestone S.r.l,0.05,0.05,0,NaN,#VALUE!
Metal Slug 4 & 5,PS2,2005.0,Shooter,SNK Playmore,NaN,0.05,0.04,0,NaN,NaN
ECW Anarchy Rulz,PS,1999.0,Fighting,Acclaim Entertainment,Acclaim,0.06,0.04,0,43.0,6.3
InuYasha: A Feudal Fairy Tale,PS,2002.0,Fighting,Namco Bandai Games,Dimps Corporation,0,0,0.1,69.0,9
Where the Wild Things Are,X360,2009.0,Platform,Warner Bros. Interactive Entertainment,Griptonite Games,0.1,0,0,51.0,5.4
Toukiden 2,PSV,2016.0,Action,Tecmo Koei,NaN,0,0,0.11,NaN,NaN
TMNT,PSP,2007.0,Action,Ubisoft,Ubisoft Montreal,0.1,0,0,37.0,4.1
J-League Winning Eleven 9: Asia Championship,PS2,2005.0,Sports,Konami Digital Entertainment,NaN,0,0,0.11,NaN,NaN
Sabrina The Teenage Witch: Potion Commotion,GBA,2002.0,Action,Ubisoft,Ubisoft,0.08,0.03,0,63.0,2.8
Happy Feet Two,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,NaN,0.08,0.02,0,NaN,NaN
Transformer: Rise of the Dark Spark,XOne,2014.0,Action,Activision,NaN,0.07,0.03,0,NaN,NaN
Pocket Pets,DS,2007.0,Simulation,O3 Entertainment,Agatsuma Entertainment,0.1,0,0,NaN,NaN
Pac-Man Pinball Advance,GBA,2005.0,Misc,Zoo Digital Publishing,Human Soft,0.08,0.03,0,52.0,#VALUE!
Yu Yu Hakusho: Tournament Tactics,GBA,2004.0,Strategy,Atari,Sensory Sweep,0.08,0.03,0,NaN,6.8
Home Run King,GC,2002.0,Sports,Sega,Wow Entertainment,0.09,0.02,0,66.0,#VALUE!
To Heart 2: Dungeon Travelers,PSP,2011.0,Adventure,Aqua Plus,NaN,0,0,0.11,NaN,NaN
WWE All Stars,PS2,2011.0,Fighting,THQ,THQ,0.05,0.04,0,NaN,3.4
MLB Power Pros,PS2,2007.0,Sports,Konami Digital Entertainment,Konami,0,0,0.11,80.0,8.8
Dementium II,DS,2010.0,Shooter,SouthPeak Games,Renegade Kid,0.09,0.01,0,75.0,8.3
Virtua Fighter CG Portrait Series Vol.1: Sarah...,SAT,1995.0,Misc,Sega,NaN,0,0,0.11,NaN,NaN
GoldenEye: Rogue Agent,DS,2005.0,Shooter,Electronic Arts,"EA Tiburon, n-Space",0.1,0,0,58.0,7.5
Kousoku Card Battle: Card Hero,DS,2007.0,Strategy,Nintendo,NaN,0,0,0.11,NaN,NaN
BlazBlue: Calamity Trigger Portable,PSP,2010.0,Fighting,PQube,Arc System Works,0.07,0.01,0.03,82.0,7.8
AirForce Delta Strike,PS2,2004.0,Simulation,Konami Digital Entertainment,KCE Studios,0.05,0.04,0,66.0,7
Tokimeki Memorial: Girl's Side 2nd Season,DS,2008.0,Adventure,Konami Digital Entertainment,NaN,0,0,0.11,NaN,NaN
Disney's Peter Pan: Return to Never Land,GBA,2002.0,Platform,Ubisoft,NaN,0.08,0.03,0,NaN,NaN
Pimp My Ride,Wii,2008.0,Racing,Activision,Eutechnyx,0.1,0,0,26.0,3.8
The Fairly Odd Parents: Breakin Da Rules,XB,2003.0,Platform,THQ,NaN,0.08,0.02,0,NaN,NaN
Capcom vs. SNK 2 EO,GC,2002.0,Fighting,Capcom,Capcom,0.09,0.02,0,68.0,8.9
Hot Wheels Velocity X,GC,2002.0,Racing,THQ,Beyond Games,0.09,0.02,0,55.0,6.4
Open Season,X360,2006.0,Platform,Ubisoft,Ubisoft,0.1,0,0,59.0,7.3
Akiba's Trip: Undead & Undressed,PS3,2013.0,Action,Nippon Ichi Software,NaN,0.05,0.01,0.04,NaN,NaN
de Blob 2,DS,2011.0,Platform,THQ,Halfbrick Studios,0.08,0.02,0,75.0,8.2
Call of Juarez: The Cartel,PC,2011.0,Shooter,Ubisoft,Ubisoft,0.05,0.05,0,51.0,3.3
Fabulous Finds,DS,2009.0,Puzzle,ValuSoft,THQ,0.1,0,0,NaN,#VALUE!
Let's Play Garden,DS,2010.0,Simulation,Deep Silver,Deep Silver,0.1,0,0,NaN,#VALUE!
EA Replay,PSP,2006.0,Action,Electronic Arts,Team Fusion,0.1,0,0,56.0,#VALUE!
Contra Advance: The Alien Wars EX,GBA,2002.0,Shooter,Konami Digital Entertainment,Konami,0.08,0.03,0,70.0,#VALUE!
Jake Hunter Detective Story: Memories of the Past,DS,2007.0,Adventure,PQube,WorkJam,0.06,0,0.05,72.0,#VALUE!
Escape The Museum,Wii,2009.0,Adventure,Majesco Entertainment,Void Productions,0.1,0.01,0,NaN,#VALUE!
LEGO Ninjago: Shadow of Ronin,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,TT Fusion,0.01,0.08,0,70.0,#VALUE!
Space Chimps,X360,2008.0,Platform,Brash Entertainment,Red Tribe,0.1,0,0,57.0,5.3
FIFA Soccer 06,PSP,2005.0,Sports,Electronic Arts,EA Sports,0.1,0,0,77.0,7.7
JASF: Jane's Advanced Strike Fighters,PS3,2011.0,Simulation,Deep Silver,Trickstar Games,0.07,0.03,0,41.0,3.1
The History Channel: Battle for the Pacific,Wii,2007.0,Shooter,Activision,FUN Labs,0.1,0,0,NaN,5.3
Army Men: RTS,PS2,2002.0,Strategy,3DO,Pandemic Studios,0.05,0.04,0,68.0,#VALUE!
Mobile Suit Gundam: MS Sensen 0079,Wii,2007.0,Simulation,Namco Bandai Games,NaN,0,0,0.11,NaN,NaN
Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,Namco Bandai Games,Media Vision,0,0.1,0,75.0,8.5
Cloudy With a Chance of Meatballs,Wii,2009.0,Platform,Ubisoft,Ubisoft Shanghai,0.1,0,0,68.0,5.3
The Settlers,DS,2007.0,Action,Ubisoft,Blue Byte,0.1,0,0,39.0,5.6
Stronghold,PC,2001.0,Strategy,Gathering of Developers,FireFly Studios,0,0.09,0,81.0,8.9
NCIS 3D,3DS,2011.0,Adventure,Ubisoft,Ubisoft,0.06,0.04,0,NaN,#VALUE!
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011.0,Adventure,THQ,NaN,0,0,0.11,NaN,NaN
Ridge Racer Unbounded,X360,2012.0,Racing,Namco Bandai Games,Bugbear,0.05,0.05,0,71.0,7.7
Family Game Night 4: The Game Show,PS3,2011.0,Misc,Electronic Arts,Electronic Arts,0.08,0.02,0,NaN,#VALUE!
Mortal Kombat: Deception,GC,2005.0,Fighting,Midway Games,Midway,0.09,0.02,0,77.0,8.9
ESPN NHL Hockey,XB,2003.0,Sports,Sega,Kush Games,0.08,0.02,0,88.0,8.4
Monster Lab,PS2,2008.0,Role-Playing,Eidos Interactive,Backbone Entertainment,0.05,0.04,0,NaN,#VALUE!
Yard Sale Hidden Treasures: Sunnyville,DS,2010.0,Puzzle,Konami Digital Entertainment,Konami,0.1,0,0,NaN,#VALUE!
John Daly's ProStroke Golf,PS3,2010.0,Sports,O-Games,Gusto Games,0.09,0.01,0,58.0,4.1
XXX,GBA,2002.0,Action,Activision,Digital Eclipse,0.08,0.03,0,50.0,5
Maximum Force,PS,1997.0,Shooter,GT Interactive,NaN,0.06,0.04,0,NaN,NaN
Get Up and Dance,Wii,2011.0,Misc,O-Games,Crave,0.06,0.04,0,NaN,#VALUE!
Truth or Lies,X360,2010.0,Misc,THQ,THQ,0.07,0.03,0,28.0,5.2
Worms Forts: Under Siege,PS2,2004.0,Strategy,Acclaim Entertainment,Team 17,0.05,0.04,0,63.0,8
Guitar Rock Tour,DS,2007.0,Misc,Gameloft,Ubisoft,0.1,0,0,60.0,#VALUE!
Puzzler World 2,DS,2010.0,Puzzle,Ubisoft,Ubisoft,0.02,0.07,0,NaN,#VALUE!
Project: Snowblind,XB,2005.0,Action,Eidos Interactive,Crystal Dynamics,0.08,0.02,0,79.0,7
Astro Boy: The Video Game,PS2,2009.0,Action,D3Publisher,High Voltage Software,0.05,0.04,0,56.0,5
Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,Santa Entertainment,0.08,0.02,0,62.0,7.4
Surf's Up,PSP,2007.0,Sports,Ubisoft,Ubisoft Montreal,0.02,0.06,0,NaN,#VALUE!
Brave Story: New Traveler (US sales),PSP,2006.0,Role-Playing,Sony Computer Entertainment,NaN,0.11,0,0,NaN,NaN
Cake Mania,DS,2007.0,Puzzle,Majesco Entertainment,Digital Embryo,0.09,0.01,0,55.0,6.1
Disney's Extreme Skate Adventure,XB,2003.0,Sports,Activision,Toys for Bob,0.08,0.02,0,76.0,8.3
Tales of Phantasia (PS1 & PSP Versions),PSP,2006.0,Role-Playing,Namco Bandai Games,NaN,0,0,0.11,NaN,NaN
Kouchuu Ouja Mushi King: Super Collection,DS,2007.0,Action,Sega,NaN,0,0,0.11,NaN,NaN
The Adventures of Jimmy Neutron Boy Genius: Je...,GC,2003.0,Action,THQ,NaN,0.09,0.02,0,NaN,NaN
Nickelodeon Dance,X360,2011.0,Misc,Take-Two Interactive,High Voltage Software,0.08,0.02,0,NaN,#VALUE!
Pac-Man World 2,GBA,2005.0,Action,Zoo Digital Publishing,Full Fat,0.08,0.03,0,NaN,6
Odama,GC,2006.0,Misc,Nintendo,Vivarium,0.07,0.02,0.02,62.0,8
PriPara Mezase! Idol Grand Prix No.1!,3DS,2015.0,Misc,Takara Tomy,NaN,0,0,0.11,NaN,NaN
Karaoke Revolution Presents American Idol Encore,X360,2008.0,Misc,Konami Digital Entertainment,Blitz Games,0.1,0,0,70.0,7
Mobile Light Force 2,PS2,2002.0,Shooter,Taito,Alfa System,0.05,0.04,0,59.0,#VALUE!
Naval Ops: Warship Gunner,PS2,2003.0,Simulation,Tecmo Koei,Micro Cabin,0.05,0.04,0,67.0,8.9
Soma Bringer,DS,2008.0,Role-Playing,Nintendo,NaN,0,0,0.11,NaN,NaN
Paws & Claws Pet Vet: Australian Adventures,DS,2009.0,Simulation,THQ,NaN,0.1,0,0,NaN,NaN
Shin Sangoku Musou 6 Special,PSP,2011.0,Action,Tecmo Koei,NaN,0,0,0.11,NaN,NaN
Go! Sudoku (JP sales),PSP,2005.0,Puzzle,Sony Computer Entertainment,NaN,0,0,0.11,NaN,NaN
Bionicle Heroes,GC,2006.0,Shooter,Eidos Interactive,Traveller's Tales,0.08,0.02,0,51.0,5.2
The King of Fighters 2000/2001,PS2,2003.0,Fighting,Ignition Entertainment,SNK Playmore,0.05,0.04,0,71.0,8.6
Valkyrie Drive: Bhikkhuni,PSV,2015.0,Action,PQube,Marvelous Inc.,0,0.03,0.07,72.0,8.5
Top Gear Rally 2,N64,1999.0,Racing,Kemco,NaN,0.09,0.02,0,NaN,NaN
Chopper Attack,N64,1997.0,Action,GT Interactive,NaN,0.09,0.02,0,NaN,NaN
Vigilante 8: 2nd Offense,N64,2000.0,Racing,Activision,NaN,0.09,0.02,0,NaN,NaN
Fighting Force 64,N64,1999.0,Action,Crave Entertainment,NaN,0.09,0.02,0,NaN,NaN
Lunacy,SAT,1996.0,Adventure,Sega,NaN,0,0,0.11,NaN,NaN
Snowboard Kids 2,N64,1999.0,Sports,Atlus,NaN,0.09,0.02,0,NaN,NaN
Batman & Robin,PS,1998.0,Action,Acclaim Entertainment,NaN,0.06,0.04,0,NaN,NaN
Tonic Trouble,N64,1999.0,Platform,Ubisoft,NaN,0.09,0.02,0,NaN,NaN
Nuclear Strike 64,N64,1999.0,Simulation,THQ,NaN,0.09,0.02,0,NaN,NaN
Chameleon Twist,N64,1997.0,Platform,Sunsoft,NaN,0.09,0.02,0,NaN,NaN
DualPenSports,3DS,2011.0,Sports,Namco Bandai Games,Indies Zero,0.05,0.05,0,58.0,#VALUE!
Grease,DS,2010.0,Misc,505 Games,Big Head Games Ltd.,0.1,0,0,NaN,#VALUE!
The King of Fighters Collection: The Orochi Saga,Wii,2008.0,Fighting,Ignition Entertainment,SNK Playmore,0.1,0,0,70.0,#VALUE!
The Spiderwick Chronicles,X360,2008.0,Action,Vivendi Games,Stormfront Studios,0.09,0.01,0,59.0,#VALUE!
Bodycount,PS3,2011.0,Shooter,Codemasters,Guildford Studio,0.05,0.05,0,50.0,3.5
Street Fighter Collection,SAT,1996.0,Fighting,Capcom,NaN,0,0,0.11,NaN,NaN
Ninja Assault,PS2,2002.0,Shooter,Namco Bandai Games,Namco,0.05,0.04,0,60.0,5.3
Samurai Warriors 4,PSV,2014.0,Action,Tecmo Koei,Omega Force,0,0,0.11,76.0,8.6
Winter Stars,Wii,2011.0,Sports,Deep Silver,49Games,0.05,0.05,0,NaN,#VALUE!
Hasbro Family Game Night Fun Pack,Wii,2011.0,Misc,Electronic Arts,Virtuos,0.1,0,0,NaN,#VALUE!
Planet 51,PS3,2009.0,Action,Sega,Pyro Studios,0.07,0.03,0,50.0,#VALUE!
GunGriffon Blaze,PS2,2000.0,Simulation,Swing! Entertainment,Game Arts,0.05,0.04,0,73.0,#VALUE!
Frontier Gate,PSP,2011.0,Role-Playing,Konami Digital Entertainment,NaN,0,0,0.11,NaN,NaN
Higurashi no Naku Koro ni Matsuri,PS2,2007.0,Adventure,Alchemist,NaN,0,0,0.11,NaN,NaN
Army Men: Soldiers of Misfortune,DS,2008.0,Shooter,Zoo Games,Big Blue Entertainment,0.1,0,0,35.0,#VALUE!
Top Angler: Real Bass Fishing,PS2,2002.0,Sports,Xicat Interactive,NaN,0.05,0.04,0,NaN,NaN
Eragon,PSP,2006.0,Action,Vivendi Games,"Amaze Entertainment, Vivendi Games",0.1,0,0,59.0,#VALUE!
Breakout,PS,1999.0,Puzzle,Hasbro Interactive,Supersonic Software,0.06,0.04,0,NaN,#VALUE!
AKB48+Me,3DS,2012.0,Action,Unknown,NaN,0,0,0.11,NaN,NaN
Alias,PS2,2004.0,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,0.05,0.04,0,64.0,8
Sakura Taisen Hanagumi Tsuushin,SAT,1997.0,Misc,Sega,NaN,0,0,0.11,NaN,NaN
Famicom Mini: Famicom Tantei Club - Kieta Kouk...,GBA,2004.0,Adventure,Nintendo,NaN,0,0,0.11,NaN,NaN
Calling,Wii,2009.0,Adventure,Konami Digital Entertainment,Hudson Entertainment,0.06,0.04,0,49.0,6.7
Yomawari,PSV,2015.0,Adventure,Nippon Ichi Software,NaN,0.02,0.02,0.06,NaN,NaN
Night at the Museum: Battle of the Smithsonian,X360,2009.0,Action,Majesco Entertainment,"Majesco Games, Majesco",0.07,0.03,0,50.0,7.1
Pinball Hall of Fame: The Williams Collection,PSP,2008.0,Misc,System 3 Arcade Software,Farsight Studios,0.09,0.01,0,78.0,#VALUE!
Spyborgs,Wii,2009.0,Action,Capcom,Bionic Games,0.09,0.01,0,66.0,6.3
ESA Game Pack,PS3,2010.0,Misc,Sony Computer Entertainment,Various,0.1,0,0,NaN,#VALUE!
Outlaw Golf: Nine Holes of Christmas,XB,2002.0,Sports,Simon & Schuster Interactive,NaN,0.08,0.02,0,NaN,NaN
Invizimals: The Lost Tribes,PSP,2011.0,Action,Sony Computer Entertainment,Novarama,0,0.08,0,NaN,#VALUE!
NHL Rivals 2004,XB,2003.0,Sports,Microsoft Game Studios,Microsoft Game Studios,0.08,0.02,0,65.0,8.8
Bodycount,X360,2011.0,Shooter,Codemasters,Guildford Studio,0.07,0.03,0,53.0,4.7
X-Men: Next Dimension,XB,2002.0,Fighting,Activision,Paradox Development,0.08,0.02,0,56.0,#VALUE!
Tyco RC: Assault with a Battery,PS,1999.0,Racing,Syscom,NaN,0.06,0.04,0,NaN,NaN
Felony 11-79,PS,1997.0,Racing,ASCII Entertainment,NaN,0.06,0.04,0,NaN,NaN
Machinarium,PC,2009.0,Adventure,Daedalic,Amanita Design,0,0.09,0,85.0,8.8
Avatar: The Last Airbender,PSP,2006.0,Adventure,THQ,TOSE,0.1,0,0,57.0,6.3
Death Jr.: Root of Evil,Wii,2008.0,Platform,Eidos Interactive,Backbone Entertainment,0.1,0,0,71.0,8.1
Classic Road,SNES,1993.0,Sports,Victor Interactive,NaN,0,0,0.11,NaN,NaN
Panzer Dragoon Saga,SAT,1997.0,Role-Playing,Sega,NaN,0,0,0.11,NaN,NaN
Michael Phelps: Push the Limit,X360,2011.0,Sports,505 Games,Blitz Games,0.09,0.01,0,48.0,3.5
Nicktoons: Unite!,DS,2006.0,Adventure,THQ,NaN,0.1,0,0,NaN,NaN
Lost in Blue,DS,2005.0,Adventure,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.07,0.02,0.02,69.0,7.8
Wasteland 2,PS4,2015.0,Role-Playing,Deep Silver,NaN,0.08,0,0.02,NaN,NaN
Smash Court Tennis 3,X360,2007.0,Sports,Atari,Bandai Namco Games,0.08,0.02,0,55.0,#VALUE!
Batman: Return to Arkham,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,"Rocksteady Studios, Virtuos",0.05,0.05,0,77.0,8.2
The Scorpion King: Rise of the Akkadian,GC,2002.0,Action,Universal Interactive,Point of View,0.08,0.02,0,49.0,#VALUE!
Shining Ark,PSP,2013.0,Role-Playing,Sega,NaN,0,0,0.11,NaN,NaN
Transformers: Beast Wars Transmetals,PS,2000.0,Fighting,BAM! Entertainment,NaN,0.06,0.04,0,NaN,NaN
GiFTPiA,GC,NaN,Role-Playing,Unknown,NaN,0,0,0.11,NaN,NaN
My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,Namco Bandai Games,NaN,0,0,0.11,NaN,NaN
Backyard NFL Football '10,X360,2009.0,Sports,Atari,NaN,0.1,0,0,NaN,NaN
Constantine,PS2,2005.0,Action,SCi,Bits Studios,0.05,0.04,0,58.0,7.4
Charlie and the Chocolate Factory,XB,2005.0,Adventure,Global Star,"High Voltage Software, Backbone Entertainment",0.08,0.02,0,39.0,0.5
Dynasty Tactics 2,PS2,2003.0,Strategy,Tecmo Koei,Koei,0.05,0.04,0,78.0,9.1
Real World Golf,PS2,2005.0,Sports,Valcon Games,"Aqua Pacific, In2Games",0.05,0.04,0,73.0,6.3
Winter Heat,SAT,1996.0,Sports,Sega,NaN,0,0,0.11,NaN,NaN
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004.0,Platform,Electronic Arts,Krome Studios,0.08,0.02,0,69.0,8.8
Hole in the Wall: Deluxe Edition,X360,2011.0,Misc,Ubisoft,Ubisoft,0.1,0,0,NaN,#VALUE!
Defender,GC,2002.0,Misc,Midway Games,Inevitable Entertainment,0.08,0.02,0,66.0,#VALUE!
Blazblue: Continuum Shift Extend,PSV,2011.0,Fighting,PQube,Arc System Works,0.03,0.05,0.02,83.0,7.5
4 Game Fun Pack: Monopoly / Boggle / Yahtzee /...,DS,2005.0,Misc,Atari,NaN,0.1,0,0,NaN,NaN
Mushroom Men: Rise of the Fungi,DS,2008.0,Action,SouthPeak Games,Red Fly Studio,0.1,0,0,45.0,7.3
The Polar Express,GC,2004.0,Adventure,THQ,Blue Tongue Entertainment,0.08,0.02,0,40.0,4.7
BMX XXX,XB,2002.0,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",0.08,0.02,0,58.0,7.8
ATV: Quad Frenzy,DS,2005.0,Racing,Majesco Entertainment,Skyworks Technologies,0.1,0,0,35.0,#VALUE!
Touch Detective 2 1/2,DS,2007.0,Adventure,505 Games,BeeWorks,0.09,0,0.01,67.0,#VALUE!
Animal Planet: Vet Life,DS,2009.0,Simulation,Activision,Activision,0.1,0,0,NaN,#VALUE!
Frogger: Helmet Chaos,PSP,2005.0,Platform,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.1,0,0,66.0,6.4
Picross 3D 2,3DS,2015.0,Puzzle,Nintendo,NaN,0,0,0.11,NaN,NaN
Pimp My Ride,X360,2006.0,Racing,Activision,Eutechnyx,0.1,0,0,38.0,3.8
Lady Sia,GBA,2001.0,Platform,TDK Mediactive,RFX Interactive,0.08,0.03,0,73.0,#VALUE!
Rock Band: Metal Track Pack,PS2,2009.0,Misc,MTV Games,Harmonix Music Systems,0.05,0.04,0,NaN,#VALUE!
Robotech: Invasion,PS2,2004.0,Shooter,Global Star,Vicious Cycle,0.05,0.04,0,57.0,#VALUE!
Vacation Sports,Wii,2009.0,Sports,Ubisoft,Mere Mortals,0.09,0.01,0,NaN,#VALUE!
